Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Earning,Price to book value,Market Capitalization,Promoter holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Return on equity,Return on capital employed,Debt to equity,PEG Ratio,Sales,Price to Free Cash Flow,EBIT,Operating cash flow 5years,Change in promoter holding,Change in promoter holding 3Years,Pledged percentage,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Sales growth 10Years,Sales growth 7Years,Sales growth 5Years
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,659.15,113.80,15.03,72477.33,74.80,12.75,-0.06,6.26,0.01,14.14,15.16,0.47,17.92,5863.51,351.24,992.10,4679.20,0.00,0.00,0.00,6.35,5.72,15.00,5.95,17.91,19.16,28.16
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,277.45,32.28,5.33,3057.89,36.13,11.55,0.24,23.21,0.10,17.80,22.82,0.02,1.56,683.23,348.61,129.62,249.46,0.00,-0.37,0.00,20.76,11.75,18.90,30.52,12.54,16.72,13.06
Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,536.00,58.66,10.05,6924.38,47.14,16.18,-1.55,19.57,2.12,18.56,16.97,0.83,2.60,2671.62,-266.59,197.31,77.14,0.00,-20.45,0.00,19.73,40.00,55.91,55.04,27.22,24.89,29.00
Ahluwalia Contr.,532811,AHLUCONT,INE758C01029,Construction,Civil Construction,807.30,20.22,2.81,5402.54,55.32,13.74,0.21,22.32,-1.05,11.87,18.47,0.04,2.24,4458.74,31.57,412.13,1243.02,0.00,0.00,0.00,9.02,25.67,8.31,12.16,14.48,13.91,16.81
Ajanta Pharma,532331,AJANTPHARM,INE031B01049,Pharmaceuticals & Biotechnology,Pharmaceuticals,3081.50,36.48,8.50,38518.13,66.24,8.26,0.29,18.36,-0.22,25.39,32.32,0.06,1.73,5452.86,69.73,1393.76,3825.31,-0.01,0.14,17.94,22.16,10.99,16.18,10.35,12.04,14.96,13.54
Anand Rathi Wea.,543415,ANANDRATHI,INE463V01026,Capital Markets,Financial Products Distributor,3617.30,76.73,29.30,30035.68,43.12,5.78,-0.88,9.10,-0.35,45.30,57.47,0.08,2.36,1207.77,110.00,543.09,1128.32,0.00,-5.62,11.42,32.73,42.46,21.43,27.98,110.12,23.55,35.95
Apar Inds.,532259,APARINDS,INE372A01015,Electrical Equipment,Other Electrical Equipment,12480.00,50.59,10.33,50170.09,57.77,9.38,0.03,24.15,0.95,19.50,32.70,0.14,1.05,21509.07,241.80,1746.12,2230.74,0.00,-2.87,0.00,45.84,41.99,27.55,31.87,13.79,18.04,20.14
APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products,Iron & Steel Products,1898.60,43.82,9.95,52720.43,28.25,37.52,4.40,16.05,-3.86,25.31,31.64,0.09,1.88,23079.00,64.22,1682.75,5771.00,-0.02,-2.90,0.00,23.20,24.61,31.98,24.18,18.71,18.22,22.11
Astrazeneca Phar,506820,ASTRAZEN,INE203A01020,Pharmaceuticals & Biotechnology,Pharmaceuticals,8800.00,105.55,27.53,21957.17,75.00,2.78,0.07,5.79,0.24,23.63,33.40,0.04,2.44,2177.45,488.56,285.51,357.10,0.00,0.00,0.00,43.27,19.45,31.40,26.39,12.75,17.03,15.59
Avenue Super.,540376,DMART,INE192R01011,Retailing,Diversified Retail,4097.20,89.94,10.92,267159.12,74.51,9.00,0.29,8.77,-0.06,12.95,17.19,0.10,11.58,68820.74,-508.55,4223.67,12678.17,-0.14,-0.42,0.00,7.56,21.85,17.96,23.14,23.14,19.30,23.31
Bajaj Auto,532977,BAJAJ-AUTO,INE917I01010,Automobiles,2/3 Wheelers,10491.00,27.22,7.55,293296.24,55.01,8.82,-0.02,14.35,0.28,29.11,28.21,0.58,1.29,62905.00,161.14,15159.34,17223.82,0.02,0.03,0.01,21.57,18.11,13.31,10.62,10.79,10.97,17.79
Banco Products,500039,BANCOINDIA,INE213C01025,Auto Components,Auto Components & Equipments,624.75,18.79,5.47,8979.35,67.88,4.06,0.06,0.22,0.00,32.18,32.36,0.45,0.53,3672.29,85.28,660.30,794.99,0.00,0.00,0.00,35.59,38.94,18.31,20.30,11.03,13.36,17.70
Bharat Electron,500049,BEL,INE263A01024,Aerospace & Defense,Aerospace & Defense,421.85,50.87,12.85,308363.02,51.14,19.51,1.00,20.00,-0.47,27.58,36.53,0.00,1.90,27610.11,222.71,8059.69,12193.96,0.00,0.00,0.00,26.72,23.64,18.15,17.25,14.14,12.42,14.37
BLS Internat.,540073,BLS,INE153T01027,Leisure Services,"Tour, Travel Related Services",269.05,16.12,4.50,11067.55,70.39,6.14,-0.23,2.99,0.07,32.74,29.34,0.17,0.32,2998.22,20.50,820.38,2453.37,0.00,-4.02,0.00,50.09,68.66,37.13,36.30,19.50,20.69,44.35
BSE,,BSE,INE118H01025,Capital Markets,Exchange and Data Platform,4291.20,70.33,26.19,174780.18,0.00,19.42,1.97,25.09,1.35,44.79,58.03,0.00,0.57,4833.95,97.76,3299.14,7465.95,0.00,0.00,0.00,123.98,68.26,45.10,43.42,22.51,33.12,50.29
Cantabil Retail,533267,CANTABIL,INE068L01024,Textiles & Apparels,Garments & Apparels,218.25,19.03,3.82,1821.98,74.46,2.16,-0.37,1.03,-0.05,21.98,19.07,1.14,1.52,852.55,17.51,174.14,647.93,0.25,-0.51,0.00,11.58,57.50,33.29,33.93,18.87,16.74,27.62
Caplin Point Lab,524742,CAPLIPOINT,INE475E01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,2077.90,24.62,4.40,15788.63,70.57,6.15,-0.43,2.14,0.09,20.62,24.63,0.00,1.26,2187.19,68.81,803.66,1882.09,0.00,-0.09,0.00,19.52,21.81,20.28,30.17,24.80,18.96,15.56
Carysil,524091,CARYSIL,INE482D01024,Consumer Durables,Household Appliances,1116.55,31.94,5.22,3163.16,41.33,1.59,0.04,11.74,0.39,17.45,17.77,0.45,1.35,923.95,-406.54,150.73,349.46,0.00,-2.58,0.00,21.21,18.90,26.70,23.51,18.18,20.42,24.43
Ceinsys Tech,538734,CEINSYS,INE016Q01014,IT - Software,Computers - Software & Consulting,902.90,14.06,2.81,1889.10,50.88,10.25,5.92,0.19,-0.04,24.76,27.46,0.08,0.22,660.70,594.04,163.53,131.59,0.18,-7.74,12.44,47.54,105.00,54.46,30.27,17.40,20.76,28.96
Cemindia Project,509496,CEMPRO,INE686A01026,Construction,Civil Construction,879.95,25.39,6.30,15177.13,67.46,7.31,-0.88,1.94,0.44,28.24,33.83,0.38,0.37,10060.58,67.43,1032.63,2216.58,0.00,20.82,0.00,69.09,112.90,32.43,25.92,13.28,17.94,29.83
Choice Intl.,531358,CHOICEIN,INE102B01014,Finance,Holding Company,689.30,70.52,9.19,15350.31,53.65,11.41,-0.75,0.35,0.05,16.13,17.96,0.54,1.32,1119.13,-46.99,405.48,-610.35,-0.01,-1.67,11.90,47.92,52.84,49.37,27.25,19.57,37.41,44.84
Cigniti Tech.,534758,CIGNITITEC,INE675C01017,IT - Services,IT Enabled Services,1260.30,11.36,3.07,3471.74,54.00,10.43,-1.17,11.58,2.28,25.96,34.09,0.02,0.33,2211.20,25.05,412.70,629.56,0.00,19.39,0.00,35.18,13.00,31.05,22.72,18.19,16.46,18.23
Coforge,532541,COFORGE,INE591G01025,IT - Software,Computers - Software & Consulting,1398.00,36.62,4.92,60137.84,0.00,23.32,-11.21,44.42,-9.25,20.64,23.50,0.08,1.18,16402.70,71.56,2327.40,5648.30,0.00,-30.16,0.00,26.91,25.84,20.53,18.70,19.83,23.82,28.60
Cupid,530843,CUPID,INE509F01029,Personal Products,Personal Care,124.69,154.82,37.19,16761.00,46.03,1.01,-0.47,0.17,-0.13,27.30,33.46,0.13,3.03,391.40,-1910.41,145.31,85.77,0.48,0.97,24.79,50.77,30.74,32.32,21.03,20.40,24.28,22.27
Data Pattern,543428,DATAPATTNS,INE0IX101010,Aerospace & Defense,Aerospace & Defense,4096.00,83.78,13.21,22923.82,42.41,12.47,0.93,11.68,1.41,16.87,23.28,0.00,2.76,924.77,-505.83,379.00,162.66,0.00,0.00,0.00,30.40,-31.62,1.09,26.37,36.18,32.20,32.79
Dixon Technolog.,540699,DIXON,INE935N01020,Consumer Durables,Consumer Electronics,11824.00,49.97,15.37,71892.16,28.68,18.30,-0.38,28.14,-0.92,37.43,41.97,0.21,0.64,48872.80,216.90,2208.03,4514.84,-0.15,-5.38,0.00,76.27,54.04,54.73,26.49,42.77,49.09,49.94
Dr Agarwal's Eye,526783,DRAGARWQ,INE934C01018,Healthcare Services,Hospital,4948.10,34.27,6.91,2402.50,72.67,2.20,0.38,2.12,-0.24,25.22,17.36,0.94,1.44,470.87,121.22,105.49,455.69,0.00,0.78,29.26,22.71,118.39,28.32,34.84,13.18,15.66,27.49
Dr Lal Pathlabs,539524,LALPATHLAB,INE600L01024,Healthcare Services,Healthcare Service Provider,1614.90,51.42,10.79,27122.57,53.21,17.18,-3.11,21.37,2.17,22.54,28.29,0.08,1.70,2762.90,55.72,722.00,2642.64,0.00,-1.82,0.00,30.10,12.46,14.85,14.70,13.32,12.61,11.81
Dynacons Sys.,532365,DSSL,INE417B01040,IT - Services,IT Enabled Services,1895.10,28.76,8.86,2410.33,60.89,0.37,0.03,0.30,0.04,37.28,39.17,0.64,0.45,1351.16,90.40,135.34,102.21,-0.06,-0.21,0.00,57.20,53.52,54.27,47.53,28.29,29.21,31.03
Dynamic Cables,540795,DYCL,INE600Y01019,Industrial Products,Cables - Electricals,323.00,18.60,3.42,1570.71,68.18,0.90,0.37,1.27,0.24,20.32,26.69,0.09,0.47,1197.82,286.39,124.54,210.59,0.00,-6.25,0.00,35.38,50.87,20.18,17.80,16.16,12.46,28.44
eClerx Services,532927,ECLERX,INE738I01010,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1588.10,21.13,5.83,14921.53,54.52,11.82,0.43,23.95,-1.36,29.02,34.81,0.15,1.54,4117.03,25.52,977.26,2990.51,0.71,0.91,0.00,15.29,24.16,21.18,10.41,12.10,16.30,21.35
Eicher Motors,505200,EICHERMOT,INE066A01021,Automobiles,2/3 Wheelers,7414.00,36.58,8.10,203312.48,49.06,26.77,-0.24,14.73,0.09,23.96,30.52,0.02,1.52,23407.56,64.91,7229.04,16858.17,0.00,-0.14,0.00,23.89,32.66,14.04,15.19,14.26,13.25,21.83
Elgi Equipments,522074,ELGIEQUIP,INE285A01027,Industrial Products,"Compressors, Pumps & Diesel Engines",567.90,43.33,8.96,17974.80,31.19,22.20,-0.91,9.08,1.00,20.06,21.91,0.26,1.59,3831.00,83.05,596.10,1150.31,0.00,0.00,0.88,27.26,52.48,20.07,27.03,10.50,11.84,13.92
Fiem Industries,532768,FIEMIND,INE737H01014,Auto Components,Auto Components & Equipments,2273.60,24.91,5.54,5992.26,54.52,6.86,-0.07,11.40,0.53,20.99,27.80,0.06,0.86,2703.78,69.38,321.86,727.02,0.00,-12.04,0.00,28.94,21.87,21.92,15.73,11.39,10.04,11.92
Fineotex Chem,533333,FCL,INE045J01034,Chemicals & Petrochemicals,Specialty Chemicals,39.03,41.79,5.15,4545.05,62.30,2.92,0.39,1.27,-0.01,13.48,18.30,0.01,5.82,772.23,9739.38,154.40,263.21,-0.27,-2.73,0.00,5.40,19.41,24.51,19.99,21.53,22.90,28.72
Fredun Pharma,539730,,INE194R01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,2384.10,39.57,4.68,1314.28,44.57,1.06,0.60,2.81,-0.67,15.81,21.49,0.80,0.87,639.13,1206.68,86.89,73.68,1.51,-5.58,0.00,36.52,64.50,27.34,29.10,31.21,30.91,36.70
Frontier Springs,522195,FRONTSP,INE572D01014,Auto Components,Auto Components & Equipments,1627.10,34.08,12.36,1921.84,51.76,0.00,0.00,0.51,0.30,32.04,41.56,0.04,0.52,309.59,461.53,76.23,64.45,0.00,0.00,0.00,65.70,19.49,37.97,57.66,20.89,21.64,18.29
Garden Reach Sh.,542011,GRSE,INE382Z01011,Aerospace & Defense,Aerospace & Defense,2675.70,40.98,11.67,30649.54,74.50,3.51,0.55,1.69,0.05,31.79,42.96,0.01,0.81,7002.16,-78.42,1020.82,113.51,0.00,0.00,0.00,50.49,36.23,31.44,-6.85,15.50,26.03,43.75
Godfrey Phillips,500163,GODFRYPHLP,INE260B01028,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,2320.60,23.73,5.83,36201.82,72.58,7.91,-0.24,3.28,-0.93,26.62,32.84,0.04,0.63,6391.11,306.58,1951.60,2130.17,0.00,0.00,0.21,37.38,37.92,32.31,26.05,10.61,14.37,20.41
